participant_id	species	sex
sub-541516760	Homo Sapiens	F
sub-567704703	Homo Sapiens	F
sub-569800644	Homo Sapiens	M
sub-571364629	Homo Sapiens	M
sub-571458187	Homo Sapiens	M
sub-576060516	Homo Sapiens	F
sub-591270122	Homo Sapiens	F
sub-592433014	Homo Sapiens	F
sub-595536280	Homo Sapiens	F
sub-595954915	Homo Sapiens	M
sub-596832620	Homo Sapiens	M
sub-601901227	Homo Sapiens	F
sub-611526465	Homo Sapiens	M
sub-642843699	Homo Sapiens	M
sub-648220984	Homo Sapiens	M
sub-651940947	Homo Sapiens	M
sub-653027578	Homo Sapiens	F
sub-653718968	Homo Sapiens	M
sub-660473566	Homo Sapiens	M
sub-665691251	Homo Sapiens	M
sub-672118436	Homo Sapiens	F
sub-672637567	Homo Sapiens	M
sub-674562997	Homo Sapiens	F
sub-676285262	Homo Sapiens	F
sub-676839274	Homo Sapiens	F
sub-677115273	Homo Sapiens	F
sub-685740095	Homo Sapiens	F
sub-689168779	Homo Sapiens	M
sub-695464588	Homo Sapiens	M
sub-700619648	Homo Sapiens	M
sub-707724503	Homo Sapiens	F
sub-712700908	Homo Sapiens	F
sub-716866594	Homo Sapiens	M
sub-717026464	Homo Sapiens	M
sub-720531601	Homo Sapiens	F
sub-720619787	Homo Sapiens	F
sub-727391446	Homo Sapiens	F
sub-731978186	Homo Sapiens	M
sub-736890023	Homo Sapiens	M
sub-737373545	Homo Sapiens	M
sub-750786644	Homo Sapiens	F
sub-758233315	Homo Sapiens	M
sub-760110174	Homo Sapiens	F
sub-766758349	Homo Sapiens	M
sub-767377358	Homo Sapiens	F
sub-768678784	Homo Sapiens	M
sub-770227957	Homo Sapiens	M
sub-774230643	Homo Sapiens	M
sub-783453365	Homo Sapiens	M
sub-786359945	Homo Sapiens	M
sub-793165711	Homo Sapiens	M
sub-797676582	Homo Sapiens	M
sub-805678822	Homo Sapiens	M
sub-811677083	Homo Sapiens	M
sub-813481439	Homo Sapiens	M
sub-832340431	Homo Sapiens	M
